SPY (SPDR S&P 500 ETF Trust),337.6,0.54
Feb 17 2020 @ 11:28 ET,Bid,0,Ask,0,Size,0x0,Vol,64582210
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/18/2020,SPY200218C00283000,54.59,0,54.57,54.95,0,0.02,1,0,3,283.000,SPY200218P00283000,0.01,0,0,0.01,0,0.6378,-0.001,0.0002,390
02/18/2020,SPY200218C00284000,53.62,0,53.57,53.95,0,0.02,1,0.0002,2,284.000,SPY200218P00284000,0.05,0,0,0.01,0,0.6034,-0.0007,0.0001,352
02/18/2020,SPY200218C00285000,51.65,0,52.57,52.95,0,0.02,1,0.0001,5,285.000,SPY200218P00285000,0.01,0,0,0.01,0,0.5964,-0.0008,0.0001,569
02/18/2020,SPY200218C00286000,0,0,51.57,51.95,0,0.02,1,0.0001,0,286.000,SPY200218P00286000,0.02,0,0,0.01,0,0.5964,-0.001,0.0002,1530
02/18/2020,SPY200218C00287000,0,0,50.57,50.95,0,0.02,1,0.0001,0,287.000,SPY200218P00287000,0.03,0,0,0.01,0,0.5997,-0.0013,0.0002,1920
02/18/2020,SPY200218C00288000,0,0,49.57,49.95,0,0.02,1,0.0001,0,288.000,SPY200218P00288000,0.01,0,0,0.01,0,0.5687,-0.0009,0.0002,338
02/18/2020,SPY200218C00289000,0,0,48.57,48.95,0,0.02,1,0,0,289.000,SPY200218P00289000,0.2,0,0,0.01,0,0.5645,-0.0011,0.0002,78
02/18/2020,SPY200218C00290000,0,0,47.57,47.95,0,0.02,1,0.0001,0,290.000,SPY200218P00290000,0.04,0,0,0.01,0,0.5593,-0.0012,0.0002,432
02/18/2020,SPY200218C00291000,0,0,46.57,46.95,0,0.02,1,0.0001,0,291.000,SPY200218P00291000,0.02,0,0,0.01,0,0.5551,-0.0014,0.0003,248
02/18/2020,SPY200218C00292000,39.87,0,45.57,45.95,0,0.02,1,0.0001,1,292.000,SPY200218P00292000,0.01,0,0,0.01,0,0.5332,-0.0012,0.0002,468
02/18/2020,SPY200218C00293000,0,0,44.57,44.95,0,0.02,1,0.0001,0,293.000,SPY200218P00293000,0.01,0,0,0.01,0,0.5257,-0.0013,0.0003,1056
02/18/2020,SPY200218C00294000,0,0,43.57,43.95,0,0.02,1,0.0002,0,294.000,SPY200218P00294000,0.01,0,0,0.01,0,0.4979,-0.001,0.0002,5302
02/18/2020,SPY200218C00295000,0,0,42.57,42.95,0,0.02,1,0.0002,0,295.000,SPY200218P00295000,0.01,0,0,0.01,0,0.4754,-0.0008,0.0002,1369
02/18/2020,SPY200218C00296000,0,0,41.57,41.95,0,0.02,1,0,0,296.000,SPY200218P00296000,0.03,0,0,0.01,0,0.4584,-0.0007,0.0002,294
02/18/2020,SPY200218C00297000,33.91,0,40.57,40.95,0,0.02,1,0,2,297.000,SPY200218P00297000,0.03,0,0,0.01,0,0.4635,-0.001,0.0002,4891
02/18/2020,SPY200218C00298000,0,0,39.57,39.95,0,0.02,1,0,0,298.000,SPY200218P00298000,0.03,0,0,0.01,0,0.4535,-0.0011,0.0003,160
02/18/2020,SPY200218C00299000,32.84,0,38.57,38.95,0,0.02,1,0,1,299.000,SPY200218P00299000,0.01,0,0,0.01,0,0.4281,-0.0008,0.0002,423
02/18/2020,SPY200218C00300000,37.56,0.635,37.57,37.95,114,0.02,1,0,111,300.000,SPY200218P00300000,0.01,0.005,0,0.01,10,0.4326,-0.0012,0.0003,2290
02/18/2020,SPY200218C00301000,0,0,36.57,36.95,0,0.02,1,0,0,301.000,SPY200218P00301000,0.01,0,0,0.01,0,0.4222,-0.0012,0.0003,546
02/18/2020,SPY200218C00302000,22.93,0,35.57,35.95,0,0.02,1,0,15,302.000,SPY200218P00302000,0.01,0.005,0,0.01,5,0.3977,-0.0009,0.0003,451
02/18/2020,SPY200218C00303000,0,0,34.57,34.95,0,0.02,1,0,0,303.000,SPY200218P00303000,0.01,0.005,0,0.01,24,0.3959,-0.0012,0.0003,818
02/18/2020,SPY200218C00304000,21.09,0,33.58,33.93,0,0.02,1,0,15,304.000,SPY200218P00304000,0.01,0,0,0.01,0,0.3887,-0.0013,0.0004,534
02/18/2020,SPY200218C00305000,31.97,0.05,32.61,32.93,20,0.02,1,0,77,305.000,SPY200218P00305000,0.01,-0.005,0,0.01,20,0.3674,-0.001,0.0003,3519
02/18/2020,SPY200218C00306000,30.81,0,31.58,31.93,0,0.02,1,0.0005,2,306.000,SPY200218P00306000,0.01,0,0,0.01,0,0.3713,-0.0016,0.0005,8022
02/18/2020,SPY200218C00307000,21.66,0,30.58,30.93,0,0.02,1,0,1,307.000,SPY200218P00307000,0.01,0,0,0.01,0,0.3657,-0.0019,0.0005,3538
02/18/2020,SPY200218C00308000,15.92,0,29.58,29.93,0,0.02,1,0.0004,22,308.000,SPY200218P00308000,0.01,-0.005,0,0.01,2,0.3385,-0.0013,0.0004,1516
02/18/2020,SPY200218C00309000,14.57,0,28.62,28.92,0,0.02,1,0,47,309.000,SPY200218P00309000,0.02,0,0,0.01,0,0.337,-0.0017,0.0005,1576
02/18/2020,SPY200218C00310000,26.64,0,27.58,27.94,0,0.02,1,0.0003,29,310.000,SPY200218P00310000,0.01,-0.005,0,0.01,8,0.3219,-0.0016,0.0005,4366
02/18/2020,SPY200218C00311000,21.58,0,26.58,26.93,0,0.02,1,0.0005,78,311.000,SPY200218P00311000,0.02,0,0,0.01,0,0.2997,-0.0011,0.0004,5269
02/18/2020,SPY200218C00312000,20.83,0,25.58,25.94,0,0.02,1,0.0007,38,312.000,SPY200218P00312000,0.01,-0.005,0,0.01,14,0.3067,-0.0021,0.0007,993
02/18/2020,SPY200218C00313000,23.69,0,24.58,24.94,0,0.02,1,0.0004,25,313.000,SPY200218P00313000,0.01,0,0,0.01,0,0.2805,-0.0013,0.0005,2439
02/18/2020,SPY200218C00314000,23.43,0.49,23.61,23.93,1,0.02,1,0,105,314.000,SPY200218P00314000,0.01,-0.005,0,0.01,5,0.29,-0.0027,0.0009,1558
02/18/2020,SPY200218C00315000,21.84,-0.095,22.61,22.94,6,0.05,1,0,344,315.000,SPY200218P00315000,0.01,-0.005,0,0.01,140,0.2608,-0.0015,0.0006,2690
02/18/2020,SPY200218C00316000,21.42,0.475,21.61,21.94,1,0.05,1,0,290,316.000,SPY200218P00316000,0.01,-0.015,0,0.01,2755,0.2565,-0.002,0.0008,3205
02/18/2020,SPY200218C00317000,20.5,0.545,20.61,20.94,6,0.05,1,0,100,317.000,SPY200218P00317000,0.01,-0.015,0,0.01,703,0.2414,-0.0018,0.0008,2455
02/18/2020,SPY200218C00318000,19.45,0,19.59,19.94,0,0.02,1,0,91,318.000,SPY200218P00318000,0.01,-0.015,0,0.01,1438,0.2309,-0.0019,0.0009,4739
02/18/2020,SPY200218C00319000,18.03,0,18.61,18.94,0,0.02,1,0,502,319.000,SPY200218P00319000,0.01,-0.025,0.01,0.02,1227,0.251,-0.0058,0.0022,5389
