date,USO~open,USO~high,USO~low,USO~close,USO~volume
20191231,12.71,12.955,12.69,12.81,11605266.0
20191230,13.01,13.02,12.79,12.89,8971671.0
20191227,12.92,12.96,12.82,12.91,9103937.0
20191226,12.82,12.94,12.82,12.89,6987104.0
20191224,12.73,12.79,12.725,12.77,3453938.0
20191223,12.61,12.72,12.59,12.7,7452837.0
20191220,12.72,12.72,12.56,12.63,11434745.0
20191219,12.75,12.85,12.7104,12.78,7675599.0
20191218,12.66,12.7896,12.62,12.74,11866691.0
20191217,12.65,12.76,12.65,12.72,11952552.0
20191216,12.58,12.618,12.56,12.59,6412995.0
20191213,12.41,12.63,12.39,12.49,17101076.0
20191212,12.3,12.47,12.3,12.37,22300004.0
20191211,12.33,12.365,12.14,12.3,15304123.0
20191210,12.31,12.43,12.27,12.39,10271484.0
20191209,12.25,12.375,12.25,12.33,12695296.0
20191206,12.13,12.495,12.12,12.32,21012280.0
20191205,12.31,12.35,12.145,12.19,23780145.0
20191204,12.06,12.25,12.05,12.19,29361689.0
20191203,11.67,11.86,11.59,11.76,23323679.0
20191202,11.78,11.81,11.62,11.67,13924527.0
20191129,11.93,11.94,11.5425,11.62,26762338.0
20191127,12.16,12.22,12.015,12.14,15076839.0
20191126,12.17,12.23,12.0753,12.19,16453360.0
20191125,12.03,12.14,11.9699,12.11,18793525.0
20191122,12.2,12.21,12.01,12.11,17896103.0
20191121,12.055,12.25,12.035,12.2,26945877.0
20191120,11.675,11.98,11.6202,11.9,38347062.0
20191119,11.71,11.74,11.52,11.57,28830304.0
20191118,11.98,12.01,11.83,11.9,25071720.0
20191115,11.87,12.13,11.87,12.08,17641381.0
20191114,12.04,12.06,11.85,11.91,20375721.0
20191113,11.8,12.02,11.8,11.96,22515287.0
20191112,11.96,12.02,11.81,11.87,17394379.0
20191111,11.79,11.975,11.77,11.89,17791789.0
20191108,11.73,12.0,11.64,11.99,24063226.0
20191107,11.98,12.08,11.86,11.88,26055652.0
20191106,11.96,12.0774,11.72,11.81,34009941.0
20191105,11.92,12.005,11.91,11.93,16765787.0
20191104,11.93,11.99,11.78,11.81,24309929.0
20191101,11.45,11.76,11.44,11.69,26234872.0
20191031,11.39,11.4,11.21,11.3,22102147.0
20191030,11.57,11.57,11.36,11.47,23945511.0
20191029,11.435,11.67,11.42,11.58,17582715.0
20191028,11.84,11.88,11.6,11.65,18396039.0
20191025,11.71,11.84,11.6068,11.83,16512805.0
20191024,11.7,11.79,11.6799,11.73,16185354.0
20191023,11.275,11.7,11.27,11.65,25894883.0
20191022,11.31,11.44,11.24,11.34,22258795.0
20191021,11.05,11.22,11.04,11.21,17652736.0
20191018,11.34,11.385,11.15,11.22,19961006.0
20191017,11.065,11.31,11.006,11.28,17674361.0
20191016,11.01,11.23,11.01,11.14,20430005.0
20191015,11.15,11.23,11.01,11.06,24927926.0
20191014,11.16,11.215,11.03,11.18,23789365.0
20191011,11.24,11.4601,11.24,11.42,36867993.0
20191010,11.11,11.22,11.05,11.19,21045993.0
20191009,11.18,11.21,10.93,10.99,23815669.0
20191008,10.865,11.02,10.82,10.89,24464489.0
20191007,11.14,11.28,10.98,11.04,20111981.0
20191004,11.07,11.14,10.86,11.04,28011461.0
20191003,10.83,10.98,10.64,10.93,29394908.0
20191002,11.2,11.2,10.885,10.98,28446230.0
20191001,11.39,11.43,11.07,11.19,26445061.0
20190930,11.51,11.6,11.26,11.34,25393655.0
20190927,11.57,11.8399,11.55,11.66,25781264.0
20190926,11.68,11.815,11.56,11.8,21054766.0
20190925,11.66,11.82,11.6,11.8,21645099.0
20190924,12.12,12.1498,11.86,11.9,29551588.0
20190923,12.14,12.24,12.04,12.21,21546522.0
20190920,12.23,12.3156,12.08,12.2,24118092.0
20190919,12.22,12.285,12.11,12.19,30546627.0
20190918,12.13,12.268,12.01,12.1,34740575.0
20190917,12.93,12.93,12.15,12.29,98985027.0
20190916,12.49,13.16,12.45,12.83,80917286.0
20190913,11.49,11.525,11.3833,11.44,14074054.0
20190912,11.32,11.52,11.28,11.47,35641372.0
20190911,11.99,12.05,11.58,11.68,38261913.0
20190910,12.11,12.225,11.9,11.98,25560420.0
20190909,11.92,12.1,11.895,12.08,23397439.0
20190906,11.46,11.85,11.41,11.77,22340163.0
20190905,11.8,12.01,11.65,11.7,27286504.0
20190904,11.53,11.77,11.5198,11.71,29123759.0
20190903,11.09,11.27,10.99,11.22,28065127.0
20190830,11.74,11.76,11.35,11.46,30548608.0
20190829,11.65,11.8301,11.645,11.78,22765450.0
20190828,11.72,11.79,11.55,11.64,30389820.0
20190827,11.24,11.46,11.17,11.42,24572306.0
20190826,11.44,11.49,11.14,11.18,26088047.0
20190823,11.23,11.39,11.075,11.19,34057632.0
20190822,11.66,11.7,11.41,11.53,21792452.0
20190821,11.84,11.87,11.55,11.61,24097509.0
20190820,11.59,11.7442,11.47,11.63,24653982.0
20190819,11.6,11.71,11.5,11.66,24403225.0
20190816,11.38,11.44,11.28,11.4,23478425.0
20190815,11.3,11.42,11.22,11.35,30150650.0
20190814,11.46,11.52,11.23,11.44,41846318.0
20190813,11.33,11.93,11.31,11.87,47875449.0
20190812,11.37,11.44,11.26,11.36,25719904.0
20190809,11.22,11.38,11.2,11.28,28973758.0
20190808,10.86,10.99,10.79,10.96,23546631.0
20190807,10.81,10.89,10.49,10.84,54104179.0
20190806,11.43,11.44,11.09,11.14,30273909.0
20190805,11.31,11.54,11.29,11.37,47151806.0
20190802,11.585,11.6033,11.44,11.48,37577962.0
20190801,11.87,11.88,11.12,11.31,57634579.0
20190731,12.15,12.2,12.0,12.04,27900123.0
20190730,11.84,12.095,11.82,12.08,21739963.0
20190729,11.77,11.84,11.586,11.82,22699637.0
20190726,11.64,11.71,11.55,11.65,17256351.0
20190725,11.725,11.77,11.58,11.6,19892159.0
20190724,11.81,11.95,11.4715,11.59,34924039.0
20190723,11.68,11.82,11.59,11.81,17880975.0
20190722,11.62,11.7096,11.58,11.68,24001785.0
20190719,11.57,11.6899,11.43,11.67,25108259.0
20190718,11.79,11.8,11.37,11.56,38600528.0
20190717,12.11,12.11,11.74,11.75,30196987.0
20190716,12.37,12.47,11.86,12.07,36001107.0
20190715,12.6,12.61,12.29,12.3,21738174.0
20190712,12.51,12.58,12.44,12.52,14913778.0
20190711,12.57,12.6251,12.48,12.55,17841491.0
20190710,12.33,12.565,12.3,12.53,33507941.0
20190709,11.98,12.05,11.9159,12.04,14655867.0
20190708,11.995,12.1301,11.91,11.93,25158366.0
20190705,11.86,11.99,11.82,11.95,22706243.0
20190703,11.81,11.855,11.6478,11.77,19690232.0
20190702,12.21,12.21,11.64,11.7,49314331.0
20190701,12.44,12.445,12.106,12.28,31351347.0
20190628,12.33,12.35,11.9816,12.04,28856784.0
20190627,12.29,12.39,12.262,12.29,26439111.0
20190626,12.29,12.43,12.25,12.29,35059470.0
20190625,12.035,12.11,11.94,12.0,23169727.0
20190624,11.95,12.04,11.77,12.01,26632194.0
20190621,11.86,11.98,11.85,11.97,24575774.0
20190620,11.69,11.9,11.63,11.85,46579551.0
20190619,11.14,11.34,11.1,11.33,41157460.0
20190618,10.99,11.31,10.96,11.25,36092802.0
20190617,10.85,10.945,10.75,10.81,31522906.0
20190614,10.92,11.04,10.86,10.94,25730907.0
20190613,11.07,11.08,10.81,10.88,34928366.0
20190612,10.88,10.9,10.57,10.64,35061179.0
20190611,11.19,11.22,11.035,11.11,18884916.0
20190610,11.23,11.35,11.0444,11.11,23493003.0
20190607,10.97,11.3,10.95,11.23,26155166.0
20190606,10.74,11.09,10.65,11.06,31594776.0
20190605,11.01,11.02,10.53,10.77,41599347.0
20190604,11.07,11.19,10.95,11.16,22474887.0
20190603,11.3,11.3204,10.96,10.99,33152816.0
20190531,11.45,11.535,11.04,11.1,40319646.0
20190530,12.28,12.29,11.72,11.76,29508719.0
20190529,12.03,12.28,11.83,12.24,36105870.0
20190528,12.37,12.37,12.2,12.23,23404234.0
20190524,12.22,12.24,11.9536,12.23,21527057.0
20190523,12.37,12.37,11.92,12.09,45571616.0
20190522,12.99,13.054,12.69,12.74,27554617.0
20190521,13.11,13.17,13.05,13.13,14720099.0
20190520,13.12,13.22,13.03,13.15,21460917.0
20190517,13.16,13.255,13.0316,13.08,23587662.0
20190516,13.1,13.24,13.08,13.14,19661927.0
20190515,12.77,13.005,12.76,12.97,22020291.0
20190514,12.84,12.945,12.81,12.87,20288165.0
20190513,13.14,13.1911,12.64,12.68,38790738.0
20190510,12.8,12.9257,12.7874,12.84,18828885.0
20190509,12.82,12.87,12.6844,12.81,19192148.0
20190508,12.78,12.98,12.75,12.89,23149962.0
20190507,12.78,12.85,12.63,12.73,29944937.0
20190506,12.79,13.105,12.7893,13.07,37932022.0
20190503,12.87,13.01,12.85,12.87,26193802.0
20190502,12.92,12.94,12.69,12.82,42308912.0
20190501,13.28,13.305,13.06,13.22,25771769.0
20190430,13.35,13.36,13.18,13.29,16771417.0
20190429,13.15,13.25,13.0544,13.23,23410193.0
20190426,13.38,13.39,12.96,13.09,42154080.0
20190425,13.69,13.725,13.5,13.53,17562452.0
20190424,13.81,13.82,13.66,13.68,15033462.0
20190423,13.72,13.855,13.705,13.79,18523447.0
20190422,13.61,13.72,13.6,13.67,20381729.0
20190418,13.3,13.34,13.23,13.32,12393091.0
20190417,13.38,13.39,13.26,13.28,15459731.0
20190416,13.23,13.38,13.13,13.37,13449310.0
20190415,13.23,13.289,13.14,13.24,15836518.0
20190412,13.36,13.395,13.28,13.3,18541304.0
20190411,13.34,13.38,13.18,13.27,18878009.0
20190410,13.38,13.46,13.33,13.41,16866071.0
20190409,13.35,13.3799,13.24,13.33,27393762.0
20190408,13.23,13.41,13.23,13.4,23859479.0
20190405,12.98,13.17,12.97,13.15,18759334.0
20190404,12.98,13.04,12.86,12.92,17377005.0
20190403,13.0,13.06,12.9,12.99,24301961.0
20190402,12.88,13.04,12.85,13.01,23211381.0
20190401,12.62,12.83,12.58,12.82,22855469.0
20190329,12.56,12.56,12.42,12.5,17631522.0
20190328,12.15,12.35,12.14,12.35,20701070.0
20190327,12.49,12.51,12.22,12.34,19128770.0
20190326,12.49,12.54,12.4,12.47,16380993.0
20190325,12.18,12.33,12.08,12.25,19662690.0
20190322,12.3,12.32,12.11,12.23,22739882.0
20190321,12.48,12.55,12.39,12.44,14933624.0
20190320,12.27,12.52,12.25,12.5,19568759.0
20190319,12.38,12.41,12.2356,12.28,15588123.0
20190318,12.23,12.37,12.205,12.31,18439465.0
20190315,12.08,12.24,12.06,12.2,16246196.0
20190314,12.22,12.27,12.1357,12.22,21184588.0
20190313,12.05,12.21,12.03,12.19,29013611.0
20190312,11.94,12.02,11.85,11.89,16419456.0
20190311,11.87,11.9,11.77,11.86,22495987.0
20190308,11.51,11.74,11.39,11.73,29557460.0
20190307,11.83,11.86,11.7516,11.81,17770229.0
20190306,11.71,11.789,11.58,11.75,25802169.0
20190305,11.91,11.93,11.76,11.82,20721661.0
20190304,11.84,11.91,11.68,11.8,22033639.0
20190301,11.95,12.03,11.61,11.66,31673628.0
20190228,11.92,11.993,11.85,11.95,14269061.0
20190227,11.825,11.99,11.76,11.89,21507775.0
20190226,11.61,11.7,11.54,11.63,19945782.0
20190225,11.73,11.77,11.5,11.57,28525157.0
20190222,12.0,12.06,11.93,11.95,13080873.0
20190221,11.89,11.94,11.83,11.88,13234696.0
20190220,11.73,12.02,11.72,11.93,17007286.0
20190219,11.64,11.8,11.63,11.78,21093934.0
20190215,11.61,11.73,11.573,11.71,18769437.0
20190214,11.27,11.48,11.17,11.48,27164175.0
20190213,11.3,11.4711,11.2939,11.34,20781780.0
20190212,11.32,11.34,11.13,11.16,17871135.0
20190211,10.84,11.06,10.77,11.01,23566949.0
20190208,11.1,11.13,10.97,11.08,13876829.0
20190207,11.26,11.29,10.8818,11.07,22222591.0
20190206,11.21,11.41,11.132,11.32,19192848.0
20190205,11.28,11.4726,11.23,11.29,21945270.0
20190204,11.38,11.52,11.2,11.5,19827783.0
20190201,11.4,11.69,11.39,11.63,18899820.0
20190131,11.5,11.63,11.2606,11.35,27546788.0
20190130,11.34,11.54,11.29,11.4,20660028.0
20190129,11.12,11.325,11.12,11.16,22782631.0
20190128,10.94,10.9677,10.78,10.95,28911258.0
20190125,11.2,11.3,11.16,11.25,17767819.0
20190124,11.06,11.23,11.03,11.17,21986922.0
20190123,11.17,11.19,10.89,11.05,29044810.0
20190122,11.09,11.1591,10.925,11.12,36777376.0
20190118,11.12,11.37,11.0433,11.31,40840246.0
20190117,10.88,11.1,10.77,11.03,35852765.0
20190116,10.95,11.07,10.8212,11.06,32753269.0
20190115,10.85,11.04,10.85,11.0,23915857.0
20190114,10.81,10.93,10.63,10.69,31060288.0
20190111,10.98,11.05,10.805,10.9,28613503.0
20190110,10.89,11.14,10.85,11.1,21177995.0
20190109,10.81,11.1,10.69,11.05,49188286.0
20190108,10.43,10.5498,10.3599,10.5,29153196.0
20190107,10.27,10.52,10.2316,10.29,32249126.0
20190104,10.17,10.39,10.06,10.18,38916079.0
20190103,9.99,10.01,9.655,9.95,32218997.0
20190102,9.42,10.0835,9.36,9.85,33102840.0
20181231,9.63,9.705,9.44,9.66,28417418.0
20181228,9.54,9.65,9.38,9.53,22803367.0
20181227,9.59,9.6467,9.37,9.62,36578668.0
20181226,9.25,9.92,9.23,9.9,40978797.0
20181224,9.49,9.52,9.28,9.29,21598185.0
20181221,9.62,9.78,9.54,9.57,38901239.0
20181220,9.81,9.96,9.64,9.72,44132564.0
20181219,9.97,10.2,9.92,10.02,38468526.0
20181218,10.41,10.41,9.73,9.79,56381949.0
20181217,10.89,10.91,10.41,10.45,40129621.0
20181214,11.09,11.099,10.78,10.82,35792031.0
20181213,10.74,11.27,10.715,11.21,53082687.0
20181212,11.07,11.13,10.79,10.82,26275982.0
20181211,11.04,11.0999,10.85,10.95,20848334.0
20181210,10.87,11.0275,10.7,10.75,31402081.0
20181207,11.37,11.4756,11.075,11.11,43287617.0
20181206,10.86,10.9999,10.6,10.94,45909398.0
20181204,11.245,11.3502,11.15,11.18,27194420.0
20181203,11.27,11.27,11.02,11.27,32356385.0
20181130,10.63,10.925,10.51,10.73,46819788.0
20181129,10.84,11.04,10.76,10.87,33119857.0
20181128,10.85,11.04,10.6,10.66,48781752.0
20181127,10.97,11.08,10.6441,10.95,36086059.0
20181126,10.95,11.06,10.88,10.94,39021571.0
20181123,10.88,10.94,10.69,10.83,55536358.0
20181121,11.51,11.815,11.42,11.52,38220825.0
20181120,11.83,11.9,11.1632,11.27,72177728.0
20181119,11.88,12.18,11.695,12.14,34529555.0
20181116,12.2,12.3,11.87,12.07,30346989.0
20181115,11.99,12.155,11.93,11.98,39391896.0
20181114,12.015,12.17,11.88,11.95,55488791.0
20181113,12.42,12.48,11.615,11.69,84955731.0
20181112,12.86,12.97,12.44,12.48,34847028.0
20181109,12.65,12.84,12.57,12.7,30864707.0
20181108,12.99,13.06,12.82,12.84,27401016.0
20181107,13.26,13.31,12.975,13.06,25920300.0
20181106,13.39,13.42,12.9923,13.18,29618559.0
20181105,13.49,13.59,13.29,13.3,19649377.0
20181102,13.42,13.515,13.275,13.31,28761425.0
20181101,13.86,13.86,13.37,13.46,36053910.0
20181031,13.99,14.125,13.771,13.79,31990791.0
20181030,13.9,14.16,13.87,14.03,19665606.0
20181029,14.25,14.28,14.04,14.11,21263340.0
20181026,14.12,14.375,14.06,14.33,21719605.0
20181025,14.18,14.33,14.16,14.21,15381020.0
20181024,14.24,14.34,14.04,14.05,27013992.0
20181023,14.36,14.39,13.93,14.04,46733942.0
20181022,14.6,14.75,14.5,14.74,17461776.0
20181019,14.68,14.8,14.63,14.72,20596430.0
20181018,14.56,14.76,14.51,14.56,23906661.0
20181017,15.05,15.059,14.69,14.82,31607611.0
20181016,15.09,15.27,15.05,15.19,18469635.0
20181015,15.12,15.171,14.97,15.13,22378020.0
20181012,15.14,15.16,14.92,15.12,26727151.0
20181011,15.22,15.265,14.89,14.95,29788508.0
20181010,15.77,15.77,15.37,15.38,18077901.0
20181009,15.78,15.9,15.64,15.82,23300612.0
20181008,15.56,15.705,15.53,15.68,19786746.0
20181005,15.72,15.88,15.6,15.69,26026296.0
20181004,16.03,16.03,15.61,15.74,26401654.0
20181003,15.85,16.24,15.67,16.08,26224154.0
20181002,15.95,15.955,15.83,15.87,15998017.0
20181001,15.5,16.005,15.445,15.95,26235315.0
20180928,15.24,15.57,15.23,15.52,18517126.0
20180927,15.26,15.27,15.15,15.26,11781884.0
20180926,15.17,15.24,15.09,15.11,11065241.0
20180925,15.32,15.36,15.18,15.27,18303860.0
20180924,15.22,15.3557,15.17,15.25,24690757.0
20180921,14.99,15.1515,14.78,14.96,28359874.0
20180920,15.02,15.045,14.78,14.8,14768638.0
20180919,14.74,14.95,14.7301,14.94,17463391.0
20180918,14.69,14.81,14.585,14.69,14687636.0
20180917,14.61,14.66,14.42,14.47,14423260.0
20180914,14.48,14.71,14.31,14.5,16358244.0
20180913,14.61,14.67,14.39,14.49,18426742.0
20180912,14.75,14.96,14.73,14.78,18648457.0
20180911,14.27,14.63,14.23,14.6,12411234.0
20180910,14.38,14.4199,14.1723,14.21,9938266.0
20180907,14.13,14.29,14.0712,14.28,13748704.0
20180906,14.46,14.49,14.1,14.3,15539104.0
20180905,14.58,14.64,14.435,14.49,12873608.0
20180904,14.85,14.87,14.53,14.58,15035839.0
